t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,ss,tsf,do
11905.226999999999,-0.003259081975905076, -1.759892811080511, -1.6083510596936899, -1.1172569699998576, 1.5627141049116684, -0.006249694793122984,-0.001091186399856833, 0.9293010317409127, -0.3298030419617819, 0.1662174206987914, 6.739937487771911e-05, 0.0003460402236886596,1.0,1.0,769
11905.234999999999,-0.0032593298513612368, -1.7596817321505878, -1.6084259403408465, -1.1172192354519401, 1.5627141202285861, -0.006249616232310906,-0.0010915443848205355, 0.9294084658252518, -0.3295776213091901, 0.16606378178616066, 6.747767264483175e-05, 0.0003457470544295326,1.0,1.0,769
11905.242999999999,-0.003259751237814079, -1.7593230024663375, -1.6085530630472205, -1.1171551954521934, 1.5627141462965075, -0.006249482891459657,-0.001092153450882345, 0.9295909629507275, -0.32919421492139933, 0.16580257505810303, 6.761084212413067e-05, 0.0003452482277123434,1.0,1.0,769
11905.251,-0.0032603462187852372, -1.7588167113121447, -1.6087321826438394, -1.1170650058825347, 1.562714183166105, -0.0062492950739132525,-0.0010930144484619156, 0.9298483408783096, -0.32865244679517264, 0.1654337154096348, 6.779899991531795e-05, 0.0003445429961373002,1.0,1.0,769
11905.259,-0.003261114912776364, -1.7581629848719924, -1.6089629531193719, -1.1169488865665462, 1.5627142309089195, -0.006249053208100541,-0.0010941286087116902, 0.93018034122429, -0.32795178558772997, 0.16495708320877678, 6.804231776320637e-05, 0.00034363027515977625,1.0,1.0,769
11905.267,-0.0032620574738650987, -1.757361986375729, -1.6092449277127177, -1.1168071210306074, 1.5627142896173676, -0.006248757847745701,-0.0010954975154977083, 0.9305866283074274, -0.3270915440716935, 0.16437252481700843, 6.83410164403909e-05, 0.0003425086718353336,1.0,1.0,769
11905.275,-0.0032631740924946584, -1.7564139162886843, -1.6095775590323074, -1.1166400561949814, 1.5627143594047528, -0.0062484096721391325,-0.0010971231204625921, 0.9310667876570886, -0.326070878424543, 0.16367985326782755, 6.869536909278434e-05, 0.0003411764700787641,1.0,1.0,769
11905.283,-0.0032644649964224115, -1.7553190125451685, -1.60996019920184, -1.1164481019945773, 1.5627144404052786, -0.006248009486460759,-0.0010990077302691155, 0.9316203241747567, -0.32488878736685683, 0.1628788491013233, 6.910569878049547e-05, 0.0003396316445816681,1.0,1.0,769
11905.291,-0.0032659304518505294, -1.7540775508264712, -1.6103921000322066, -1.1162317309290195, 1.5627145327740672, -0.006247558222167271,-0.0011011540278874164, 0.9322466599486092, -0.3235441111373111, 0.16196926135887244, 6.95723835258155e-05, 0.0003378718411944152,1.0,1.0,769
11905.298999999999,-0.0032675707647289443, -1.752689844884113, -1.6108724132192664, -1.1159914775416198, 1.5627146366871816, -0.00624705693743266,-0.001103565061377206, 0.9329451317096918, -0.3220355303234327, 0.16095080874036347, 7.009585419776164e-05, 0.00033589438938384493,1.0,1.0,769
11905.306999999999,-0.003269363366192657, -1.751175603334909, -1.6113935487058004, -1.115731252288703, 1.5627147509753618, -0.0062465134280031975,-0.0011062329229571855, 0.9337056294962042, -0.3203824112886081, 0.1598360646877886, 7.079976301552005e-05, 0.00033413354959971976,1.0,1.0,769
11905.314999999999,-0.003271178066488467, -1.7496451507587691, -1.6119171043380423, -1.1154702929581308, 1.562714867445661, -0.006245967774745509,-0.0011089205507676056, 0.9344717443861927, -0.3187048481740898, 0.15870864412455105, 7.137378506729094e-05, 0.0003319266455638046,1.0,1.0,769
