t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,ss,f0,f1,f2,f3,f4,f5,tsf,do
3186.348,0.6556333899497977, -1.9739438496031685, -0.9379221200943011, -1.8813215694823162, 1.5803011655807513, -0.013326470051899797,-0.9999998364956576, -0.000366597602330784, 0.0004232399367974086, 1.5024492198199424e-05, 0.00010066409558034447, 5.5891109706993257e-05,1.0,-8759.052525062272, -2849.2102901337794, 21595.357798007102, -77.05387332219783, 221.4838187410645, 38.242945449674636,1.0,769
3186.3559999999998,0.6555887095209466, -1.9739438659829087, -0.937922101183756, -1.8813215688110159, 1.580301170078467, -0.013326467554660937,-0.9999998364956577, -0.0003665976023307841, 0.0004232399367974087, 1.5024492198199428e-05, 0.00010066409558034447, 5.589110970699326e-05,1.0,-8759.758089303394, -2849.1440860037555, 21595.310616506267, -77.06002505726875, 221.46881415567861, 38.23625423236089,1.0,769
3186.364,0.6554546682343935, -1.9739439151221312, -0.9379220444521215, -1.881321566797113, 1.580301183571614, -0.013326460062943468,-0.9999998364956577, -0.00036659760233078407, 0.0004232399367974087, 1.5024492198199428e-05, 0.00010066409558034447, 5.589110970699327e-05,1.0,-8761.232010257938, -2850.7616706465997, 21594.963073408337, -77.00722192393516, 221.4188786388051, 38.23042070525432,1.0,769
3186.372,0.6552312660901382, -1.973943997020836, -0.9379219498993967, -1.8813215634406086, 1.5803012060601926, -0.013326447576747391,-0.9999998364956578, -0.0003665976023307841, 0.00042323993679740875, 1.502449219819943e-05, 0.0001006640955803445, 5.589110970699327e-05,1.0,-8759.444674644286, -2848.244415123195, 21595.61780443334, -77.07430069457746, 221.48503645409505, 38.23785615031659,1.0,769
3186.3799999999997,0.6549185030881808, -1.973944111679021, -0.9379218175255817, -1.8813215587415026, 1.5803012375442025, -0.013326430096073594,-0.9999998364956577, -0.0003665976023307841, 0.00042323993679740875, 1.502449219819943e-05, 0.00010066409558034449, 5.589110970699327e-05,1.0,-8760.750509118392, -2850.0029250110947, 21595.427497377797, -77.0302266997351, 221.41226850055398, 38.23436564819471,1.0,769
3186.388,0.6545163792285213, -1.9739442590966876, -0.9379216473306764, -1.881321552699795, 1.5803012780236436, -0.013326407620921188,-0.9999998364956577, -0.00036659760233078407, 0.0004232399367974087, 1.5024492198199426e-05, 0.00010066409558034447, 5.589110970699326e-05,1.0,-8761.252520638162, -2849.7103591829436, 21595.11482840404, -77.04249545712341, 221.4085914341993, 38.23284408488135,1.0,769
3186.3959999999997,0.6540248945111597, -1.9739444392738363, -0.9379214393146817, -1.881321545315485, 1.5803013274985163, -0.013326380151290174,-0.9999998364956578, -0.00036659760233078407, 0.00042323993679740864, 1.5024492198199428e-05, 0.00010066409558034447, 5.589110970699326e-05,1.0,-8759.972422298397, -2849.4569471257273, 21595.04832836476, -77.04021553014579, 221.4571031643352, 38.23726720872804,1.0,769
3186.404,0.653444048936096, -1.9739446522104664, -0.9379211934775977, -1.8813215365885743, 1.5803013859688204, -0.013326347687181439,-0.9999998364956577, -0.00036659760233078407, 0.0004232399367974087, 1.5024492198199428e-05, 0.00010066409558034449, 5.589110970699326e-05,1.0,-8759.974360408254, -2849.31287594271, 21595.494499382257, -77.05120092357637, 221.44958783286694, 38.23587968271843,1.0,769
3186.412,0.6527738425033301, -1.973944897906577, -0.9379209098194226, -1.881321526519061, 1.5803014534345559, -0.013326310228593208,-0.9999998364956576, -0.000366597602330784, 0.0004232399367974086, 1.5024492198199426e-05, 0.00010066409558034446, 5.5891109706993257e-05,1.0,-8760.785964359811, -2849.413669542102, 21595.398446396826, -77.05548712382145, 221.42943234571868, 38.23447568735358,1.0,769
3186.42,0.6520142752128623, -1.9739451763621707, -0.937920588340158, -1.8813215151069462, 1.5803015298957226, -0.013326267775528144,-0.9999998364956578, -0.0003665976023307842, 0.00042323993679740875, 1.502449219819943e-05, 0.0001006640955803445, 5.589110970699328e-05,1.0,-8760.033224586046, -2849.8722553388316, 21595.13575080505, -77.03740693598408, 221.4500061103799, 38.23445551304047,1.0,769
