t,q0,q1,q2,q3,q4,q5,do
5912.257,-2.0329152242481996e-05,-1.5708185635008753,-1.5708634853363037,-1.5708562336363734,1.5707701444625854,3.0112267268123105e-05,768
5912.259,0.0,-1.570799013177389,-1.5708355903625488,-1.5708724460997523,1.570757508277893,-4.9893056051075746e-05,768
5912.263,-1.603761781865387e-05,-1.5707747818290336,-1.5708149671554565,-1.5708810291686,1.5708101987838745,3.837179974652827e-05,768
5912.267,-8.408223287403871e-06,-1.5707985363402308,-1.5707993507385254,-1.5708610020079554,1.5707820653915405,-5.3707753316700746e-05,768
5912.271,-6.133714784795075e-05,-1.5708147488036097,-1.5708273649215698,-1.570808549920553,1.5708057880401611,-9.042421449834137e-05,768
5912.275,-3.225008119756012e-05,-1.5708309612669886,-1.570847988128662,-1.570852895776266,1.570801854133606,2.601146843517199e-05,768
5912.2789999999995,-1.2222920553028871e-05,-1.5707985363402308,-1.5708231925964355,-1.5708810291686,1.5707658529281616,-1.794496645146637e-05,768
5912.282999999999,-6.515184511357575e-05,-1.570778803234436,-1.570807695388794,-1.5708362064757289,1.5707979202270508,-4.560152162724762e-05,768
5912.286999999999,-6.562868227177887e-05,-1.5707747938689245,-1.5708117485046387,-1.5708209476866664,1.5707820653915405,1.8249033018946648e-05,768
5912.291,-5.323091615849762e-05,-1.5707587443651683,-1.570831537246704,-1.570824762383932,1.5707776546478271,-2.6051198140919496e-05,768
5912.295,3.814697265625e-06,-1.570794852738647,-1.570839762687683,-1.5708166561522425,1.5707658529281616,-3.034273256474762e-05,768
5912.299,-7.788287561538709e-07,-1.5707747938689245,-1.5708231925964355,-1.570852895776266,1.5708061456680298,2.648381268954836e-05,768
5912.303,-2.462068666631012e-05,-1.570766814833707,-1.570807695388794,-1.5708571873106898,1.5708144903182983,-3.415742983037262e-05,768
5912.307,-5.704561342412262e-05,-1.5707507653281318,-1.5708035230636597,-1.5708404980101527,1.5707900524139404,-3.034273256474762e-05,768
5912.311,-5.7522450582325746e-05,-1.5708304844298304,-1.570867657661438,-1.5708404980101527,1.5707859992980957,-4.2263661519825746e-05,768
5912.315,-2.080598940068512e-05,-1.570754763077577,-1.570855736732483,-1.570836683312887,1.5708061456680298,-2.6051198140919496e-05,768
5912.3189999999995,-3.0199159795074593e-07,-1.5707668667913204,-1.570839762687683,-1.5708724460997523,1.5708305835723877,3.0112267268123105e-05,768
5912.322999999999,-2.0329152242481996e-05,-1.5708466968932093,-1.5708190202713013,-1.5708891354002894,1.5707776546478271,6.198883056640625e-06,768
5912.326999999999,-2.462068666631012e-05,-1.5708028278746546,-1.570855736732483,-1.5708447895445765,1.5707979202270508,6.198883056640625e-06,768
5912.331,-2.0329152242481996e-05,-1.5708066425719203,-1.570855736732483,-1.5708643398680628,1.570737600326538,-1.794496645146637e-05,768
5912.335,-2.843538393193512e-05,-1.5707748059088154,-1.5708355903625488,-1.570852895776266,1.5708459615707397,-2.175966371709137e-05,768
5912.339,-5.323091615849762e-05,-1.5707667630961915,-1.5708636045455933,-1.5708643398680628,1.5708062648773193,-4.178682436162262e-05,768
5912.343,-5.7522450582325746e-05,-1.570810934106344,-1.5708035230636597,-1.5708004436888636,1.5707979202270508,-6.658235658818512e-05,768
5912.347,-5.7522450582325746e-05,-1.570810934106344,-1.5708478689193726,-1.5708447895445765,1.5707895755767822,-4.560152162724762e-05,768
5912.351,-1.2222920553028871e-05,-1.570810934106344,-1.570839762687683,-1.5709167919554652,1.5707740783691406,2.6023386453744024e-05,768
5912.355,-6.896654237920075e-05,-1.570810934106344,-1.5708149671554565,-1.570812841454977,1.5708661079406738,6.198883056640625e-06,768
5912.3589999999995,-1.603761781865387e-05,-1.5707908433726807,-1.5708107948303223,-1.5708643398680628,1.5707979202270508,-4.9893056051075746e-05,768
5912.362999999999,3.337860107421875e-06,-1.5707868460479695,-1.570839762687683,-1.5708486042418421,1.5707979202270508,-5.799928774052887e-05,768
5912.366999999999,-3.225008119756012e-05,-1.5708266697325648,-1.5708273649215698,-1.5708610020079554,1.5707736015319824,-2.175966371709137e-05,768
5912.371,-6.515184511357575e-05,-1.57076691061987,-1.570807695388794,-1.5709005794920863,1.5708060264587402,6.198883056640625e-06,768
5912.375,-2.7958546773731996e-05,-1.5708266697325648,-1.5708599090576172,-1.5708447895445765,1.5707734823226929,2.384185791015625e-06,768
5912.379,-3.225008119756012e-05,-1.5707708326629763,-1.5708675384521484,-1.5708767376341761,1.5708305835723877,-2.6051198140919496e-05,768
5912.383,-1.2699757711231996e-05,-1.5707866947326075,-1.5708355903625488,-1.5708362064757289,1.5707616806030273,2.384185791015625e-06,768
5912.387,-3.6541615621388246e-05,-1.5708066425719203,-1.5708158016204834,-1.5708571873106898,1.5707616806030273,3.056144487345591e-05,768
5912.391,-2.462068666631012e-05,-1.5707508614107901,-1.5708231925964355,-1.5708686314024867,1.570814609527588,-2.175966371709137e-05,768
5912.3949999999995,-6.896654237920075e-05,-1.5708066425719203,-1.5707952976226807,-1.5709005794920863,1.5707736015319824,-1.794496645146637e-05,768
5912.398999999999,-5.704561342412262e-05,-1.5707708326629763,-1.5708035230636597,-1.5708767376341761,1.57086181640625,-6.024037496388246e-06,768
5912.402999999999,-9.376207460576325e-05,-1.570782912260558,-1.570831537246704,-1.570812841454977,1.5707895755767822,-3.7495289937794496e-05,768
