t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,ss,tsf,do
5592.058,-1.6007000000010851, -1.7270999235182005, -2.202999917758575, -0.808000158723325, 1.595099999999933, -0.031000000001348837,1.3156361585723682e-10, 0.3933485790842731, 0.4229688912497571, -0.8163174703308353, 3.382866347666906e-12, 1.315574539877511e-10,1.0,0.25,1
5592.066,-1.6007000000010843, -1.727097936311722, -2.202997780909568, -0.8080042827788096, 1.595099999999933, -0.03100000000134795,1.3156361585723685e-10, 0.39334857908427323, 0.4229688912497572, -0.8163174703308355, 3.382866347666906e-12, 1.3155745398775114e-10,1.0,0.25,1
5592.074,-1.6007000000010834, -1.7270932579060725, -2.2029927502061266, -0.8080139918879006, 1.595099999999933, -0.031000000001346173,1.3156361585723682e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308355, 3.382866347666906e-12, 1.315574539877511e-10,1.0,0.25,1
5592.081999999999,-1.6007000000010807, -1.727085888301251, -2.20298482564825, -0.8080292860505986, 1.5950999999999331, -0.031000000001344397,1.3156361585723685e-10, 0.3933485790842732, 0.4229688912497571, -0.8163174703308353, 3.382866347666906e-12, 1.315574539877511e-10,1.0,0.25,1
5592.09,-1.6007000000010772, -1.7270758274972575, -2.202974007235939, -0.808050165266903, 1.5950999999999331, -0.031000000001340844,1.3156361585723685e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308355, 3.382866347666906e-12, 1.315574539877511e-10,1.0,0.25,1
5592.098,-1.6007000000010727, -1.7270630754940912, -2.202960294969195, -0.8080766295368136, 1.5950999999999331, -0.031000000001336403,1.3156361585723682e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308355, 3.382866347666906e-12, 1.315574539877511e-10,1.0,0.25,1
5592.106,-1.6007000000010674, -1.7270476322917538, -2.2029436888480145, -0.8081086788603304, 1.5950999999999333, -0.031000000001331074,1.3156361585723685e-10, 0.3933485790842732, 0.4229688912497571, -0.8163174703308355, 3.3828663476669064e-12, 1.315574539877511e-10,1.0,0.25,1
5592.114,-1.600700000001062, -1.7270294978902445, -2.2029241888724016, -0.8081463132374536, 1.5950999999999336, -0.031000000001324857,1.3156361585723685e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308355, 3.382866347666906e-12, 1.315574539877511e-10,1.0,0.25,1
5592.121999999999,-1.600700000001055, -1.7270086722895632, -2.2029017950423526, -0.8081895326681829, 1.5950999999999338, -0.03100000000131864,1.3156361585723685e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308353, 3.382866347666906e-12, 1.315574539877511e-10,1.0,0.25,1
5592.13,-1.600700000001047, -1.72698515548971, -2.2028765073578693, -0.8082383371525195, 1.5950999999999338, -0.031000000001310646,1.3156361585723682e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308353, 3.382866347666906e-12, 1.3155745398775114e-10,1.0,0.25,1
5592.138,-1.600700000001038, -1.7269589474906848, -2.2028483258189517, -0.8082927266904614, 1.595099999999934, -0.031000000001301764,1.3156361585723685e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308353, 3.382866347666906e-12, 1.315574539877511e-10,1.0,0.25,1
5592.146,-1.6007000000010283, -1.7269300482924876, -2.2028172504256, -0.8083527012820104, 1.5950999999999345, -0.031000000001291994,1.3156361585723685e-10, 0.39334857908427323, 0.4229688912497572, -0.8163174703308355, 3.382866347666907e-12, 1.3155745398775114e-10,1.0,0.25,1
5592.1539999999995,-1.6007000000010176, -1.7268984578951185, -2.2027832811778136, -0.8084182609271657, 1.5950999999999347, -0.031000000001281336,1.3156361585723682e-10, 0.3933485790842731, 0.4229688912497572, -0.8163174703308355, 3.3828663476669056e-12, 1.315574539877511e-10,1.0,0.25,1
5592.161999999999,-1.600700000001006, -1.7268641762985775, -2.202746418075593, -0.8084894056259273, 1.595099999999935, -0.03100000000126979,1.3156361585723685e-10, 0.39334857908427323, 0.4229688912497572, -0.8163174703308355, 3.3828663476669064e-12, 1.315574539877511e-10,1.0,0.25,1
5592.17,-1.6007000000009937, -1.7268272035028644, -2.2027066611189383, -0.8085661353782951, 1.5950999999999353, -0.031000000001257355,1.3156361585723685e-10, 0.3933485790842732, 0.42296889124975723, -0.8163174703308353, 3.3828663476669064e-12, 1.3155745398775114e-10,1.0,0.25,1
5592.178,-1.6007000000009803, -1.7267875395079795, -2.2026640103078474, -0.8086484501842692, 1.5950999999999356, -0.031000000001244032,1.3156361585723682e-10, 0.3933485790842732, 0.4229688912497571, -0.8163174703308353, 3.382866347666906e-12, 1.315574539877511e-10,1.0,0.25,1
5592.186,-1.6007000000009661, -1.7267451843139234, -2.202618465642324, -0.8087363500438505, 1.595099999999936, -0.03100000000122982,1.3156361585723685e-10, 0.3933485790842732, 0.42296889124975723, -0.8163174703308355, 3.382866347666906e-12, 1.3155745398775114e-10,1.0,0.25,1
5592.1939999999995,-1.600700000000952, -1.7267001379206945, -2.2025700271223645, -0.8088298349570371, 1.5950999999999362, -0.031000000001214723,1.3156361585723685e-10, 0.39334857908427323, 0.4229688912497572, -0.8163174703308355, 3.382866347666906e-12, 1.3155745398775114e-10,1.0,0.25,1
5592.201999999999,-1.600700000000936, -1.7266524003282937, -2.2025186947479716, -0.8089289049238308, 1.5950999999999367, -0.031000000001198735,1.3156361585723682e-10, 0.3933485790842732, 0.4229688912497571, -0.8163174703308355, 3.3828663476669064e-12, 1.315574539877511e-10,1.0,0.25,1
