t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,ss,tsf,do
76049.412,-1.6007000000010851, -1.7270999526125292, -2.202999949043793, -0.8080000983437774, 1.595099999999933, -0.031000000001348837,1.3156361585723682e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308355, 3.382866347666906e-12, 1.3155745398775114e-10,1.0,0.05,1
76049.42,-1.6007000000010851, -1.727099797781193, -2.2029997825531975, -0.8080004196657091, 1.595099999999933, -0.031000000001348837,1.3156361585723685e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308355, 3.382866347666906e-12, 1.3155745398775114e-10,1.0,0.05,1
76049.428,-1.6007000000010851, -1.727099535301889, -2.202999500308426, -0.8080009643897847, 1.595099999999933, -0.031000000001348837,1.3156361585723685e-10, 0.3933485790842732, 0.42296889124975723, -0.8163174703308355, 3.3828663476669064e-12, 1.3155745398775114e-10,1.0,0.05,1
76049.436,-1.6007000000010851, -1.7270991651746188, -2.2029991023094766, -0.8080017325160043, 1.595099999999933, -0.031000000001348837,1.3156361585723685e-10, 0.3933485790842732, 0.4229688912497571, -0.8163174703308355, 3.3828663476669064e-12, 1.3155745398775114e-10,1.0,0.05,1
76049.444,-1.6007000000010851, -1.7270986873993817, -2.2029985885563494, -0.8080027240443686, 1.595099999999933, -0.031000000001348837,1.3156361585723685e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308353, 3.3828663476669064e-12, 1.3155745398775114e-10,1.0,0.05,1
76049.45199999999,-1.6007000000010843, -1.7270981019761766, -2.2029979590490463, -0.8080039389748768, 1.595099999999933, -0.03100000000134795,1.3156361585723685e-10, 0.39334857908427323, 0.42296889124975723, -0.8163174703308355, 3.3828663476669064e-12, 1.3155745398775114e-10,1.0,0.05,1
76049.45999999999,-1.6007000000010843, -1.7270974089050055, -2.2029972137875644, -0.8080053773075297, 1.595099999999933, -0.03100000000134795,1.3156361585723685e-10, 0.39334857908427323, 0.4229688912497572, -0.8163174703308355, 3.3828663476669064e-12, 1.315574539877511e-10,1.0,0.05,1
76049.468,-1.6007000000010843, -1.7270966081858674, -2.2029963527719048, -0.8080070390423266, 1.595099999999933, -0.03100000000134795,1.3156361585723685e-10, 0.39334857908427323, 0.42296889124975723, -0.8163174703308355, 3.3828663476669064e-12, 1.3155745398775114e-10,1.0,0.05,1
76049.476,-1.6007000000010834, -1.7270956998187632, -2.202995376002069, -0.8080089241792674, 1.595099999999933, -0.03100000000134706,1.3156361585723682e-10, 0.39334857908427323, 0.42296889124975723, -0.8163174703308353, 3.3828663476669064e-12, 1.315574539877511e-10,1.0,0.05,1
76049.484,-1.6007000000010834, -1.7270946838036911, -2.2029942834780556, -0.808011032718353, 1.595099999999933, -0.03100000000134706,1.3156361585723685e-10, 0.39334857908427323, 0.4229688912497571, -0.8163174703308355, 3.3828663476669064e-12, 1.315574539877511e-10,1.0,0.05,1
76049.492,-1.6007000000010834, -1.727093560140652, -2.2029930751998643, -0.8080133646595824, 1.595099999999933, -0.03100000000134706,1.3156361585723682e-10, 0.39334857908427323, 0.4229688912497572, -0.8163174703308355, 3.3828663476669064e-12, 1.315574539877511e-10,1.0,0.05,1
76049.5,-1.6007000000010825, -1.727092328829647, -2.202991751167496, -0.8080159200029566, 1.595099999999933, -0.031000000001346173,1.3156361585723682e-10, 0.39334857908427323, 0.4229688912497572, -0.8163174703308355, 3.3828663476669064e-12, 1.3155745398775114e-10,1.0,0.05,1
76049.508,-1.6007000000010816, -1.7270909898706748, -2.20299031138095, -0.8080186987484748, 1.595099999999933, -0.031000000001346173,1.3156361585723685e-10, 0.3933485790842732, 0.4229688912497572, -0.8163174703308353, 3.382866347666906e-12, 1.315574539877511e-10,1.0,0.05,1
76049.516,-1.6007000000010816, -1.7270895432637356, -2.2029887558402272, -0.8080217008961368, 1.595099999999933, -0.031000000001345285,1.3156361585723685e-10, 0.39334857908427323, 0.42296889124975723, -0.8163174703308355, 3.382866347666906e-12, 1.3155745398775114e-10,1.0,0.05,1
76049.52399999999,-1.6007000000010816, -1.7270879890088295, -2.2029870845453265, -0.8080249264459436, 1.595099999999933, -0.031000000001344397,1.3156361585723682e-10, 0.3933485790842731, 0.4229688912497571, -0.8163174703308353, 3.382866347666906e-12, 1.3155745398775108e-10,1.0,0.05,1
76049.53199999999,-1.6007000000010807, -1.7270863271059564, -2.202985297496248, -0.8080283753978943, 1.5950999999999331, -0.031000000001344397,1.3156361585723685e-10, 0.3933485790842732, 0.42296889124975723, -0.8163174703308355, 3.3828663476669064e-12, 1.315574539877511e-10,1.0,0.05,1
