t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,ss,f0,f1,f2,f3,f4,f5,tsf,do
11491.430999999999,-0.5722994082398243, -1.9783725864189847, -1.4459474697689476, -0.9620606452101459, 1.6316608385739497, 1.9214884631487714,0.7731088206123938, -0.11093731453367942, 0.11932522856312446, -0.4370514363895655, 0.03396364562448135, -0.42847364713531627,1.0,-8728.632152759512, -2831.9722634465907, 21513.157522477697, -76.57863389046278, 220.82972195118725, 37.908350054217976,1.0,769
11491.439,-0.5722027122147875, -1.978386461823142, -1.4459325452525267, -0.9621153091015788, 1.631665086552294, 1.9214348721181083,0.7731088206123937, -0.11093731453367939, 0.11932522856312443, -0.43705143638956545, 0.03396364562448134, -0.4284736471353162,1.0,-8728.550040831316, -2833.6241716800932, 21512.749825257823, -76.52378900672363, 220.8264859906388, 37.910530428975164,1.0,769
11491.447,-0.5720166553320469, -1.9784131600710104, -1.4459038283636918, -0.9622204901908171, 1.6316732602658293, 1.9213317553653348,0.7731088206123938, -0.11093731453367942, 0.11932522856312446, -0.43705143638956556, 0.03396364562448135, -0.4284736471353163,1.0,-8729.458922336442, -2832.6987833405465, 21512.461888701062, -76.5634070533408, 220.79547578866345, 37.93542837103678,1.0,769
11491.455,-0.5717412375916053, -1.9784526811625884, -1.4458613191024439, -0.9623761884778599, 1.6316853597145557, 1.921179112890451,0.7731088206123936, -0.11093731453367939, 0.11932522856312443, -0.43705143638956545, 0.033963645624481335, -0.4284736471353162,1.0,-8728.566657262825, -2832.2472586720623, 21512.134015835887, -76.57033422390631, 220.79882125999006, 37.96932600510297,1.0,769
11491.463,-0.5713764589934618, -1.9785050250978777, -1.4458050174687829, -0.962582403962708, 1.6317013848984736, 1.9209769446934566,0.7731088206123936, -0.11093731453367939, 0.11932522856312444, -0.43705143638956545, 0.033963645624481335, -0.4284736471353162,1.0,-8729.294131015735, -2833.150157592747, 21512.133398284554, -76.5539051096894, 220.7833158856664, 38.00163681740639,1.0,769
11491.471,-0.5709223195376154, -1.9785701918768774, -1.445734923462708, -0.9628391366453615, 1.6317213358175824, 1.9207252507743517,0.7731088206123937, -0.11093731453367939, 0.11932522856312443, -0.43705143638956545, 0.03396364562448134, -0.4284736471353162,1.0,-8729.177025547137, -2833.3441556812095, 21512.063036873504, -76.53535132600109, 220.79528981897874, 38.05015591924041,1.0,769
11491.479,-0.5703788192240671, -1.9786481814995867, -1.44565103708422, -0.9631463865258194, 1.6317452124718825, 1.9204240311331366,0.7731088206123937, -0.11093731453367939, 0.11932522856312444, -0.43705143638956545, 0.03396364562448134, -0.4284736471353162,1.0,-8729.091022121618, -2832.620624208913, 21512.3317283779, -76.56652810750137, 220.80556114813157, 38.10283766690932,1.0,769
11491.487,-0.5697459580528168, -1.9787389939660072, -1.4455533583333189, -0.9635041536040827, 1.6317730148613738, 1.920073285769811,0.7731088206123936, -0.11093731453367939, 0.11932522856312443, -0.4370514363895654, 0.03396364562448134, -0.42847364713531616,1.0,-8729.290666255132, -2832.59349450685, 21512.46731913217, -76.57636490630816, 220.80506257914084, 38.164237127769184,1.0,769
11491.494999999999,-0.5690237360238646, -1.978842629276138, -1.4454418872100039, -0.9639124378801514, 1.6318047429860565, 1.919673014684375,0.7731088206123936, -0.11093731453367939, 0.11932522856312444, -0.43705143638956545, 0.03396364562448134, -0.4284736471353162,1.0,-8729.320113656928, -2832.9014402320336, 21512.73874475052, -76.55741706263444, 220.7856645457278, 38.24058216983366,1.0,769
11491.502999999999,-0.5682121531372104, -1.9789590874299794, -1.4453166237142767, -0.9643712393540245, 1.63184039684593, 1.9192232178768285,0.7731088206123936, -0.11093731453367939, 0.11932522856312444, -0.4370514363895654, 0.033963645624481335, -0.4284736471353162,1.0,-8729.664088941761, -2833.7608425648123, 21512.886245433478, -76.55029575370978, 220.7919814125047, 38.190068886643445,1.0,769
11491.510999999999,-0.5673112093928534, -1.979088368427531, -1.4451775678461356, -0.9648805580257029, 1.631879976440995, 1.9187238953471717,0.7731088206123937, -0.11093731453367939, 0.11932522856312443, -0.4370514363895654, 0.03396364562448134, -0.42847364713531616,1.0,-8729.154457528404, -2833.2340873521116, 21513.158346267723, -76.55521090942764, 220.82666462665833, 38.17468700870626,1.0,769
11491.519,-0.5663209047907953, -1.9792304722687932, -1.4450247196055805, -0.9654403938951868, 1.6319234817712511, 1.9181750470954044,0.7731088206123937, -0.11093731453367939, 0.11932522856312443, -0.4370514363895654, 0.033963645624481335, -0.4284736471353162,1.0,-8728.7261259854, -2833.323623368078, 21513.25502805703, -76.55689745952324, 220.83096642426113, 38.16841457189628,1.0,769
11491.527,-0.5652412393310344, -1.9793853989537666, -1.4448580789926133, -0.9660507469624751, 1.6319709128366984, 1.9175766731215267,0.7731088206123936, -0.11093731453367937, 0.11932522856312443, -0.43705143638956545, 0.033963645624481335, -0.4284736471353162,1.0,-8729.439621531892, -2833.4421292487896, 21513.054573924663, -76.5510787025089, 220.81258523766962, 38.17427770105763,1.0,769
11491.535,-0.5640722130135716, -1.9795531484824496, -1.4446776460072321, -0.9667116172275687, 1.6320222696373368, 1.9169287734255387,0.7731088206123937, -0.1109373145336794, 0.11932522856312446, -0.4370514363895655, 0.03396364562448134, -0.42847364713531627,1.0,-8730.15165861564, -2833.42981442363, 21512.79530877213, -76.54098498726847, 220.7749357436877, 38.16544333089763,1.0,769
11491.543,-0.5628138258384059, -1.979733720854843, -1.444483420649437, -0.9674230046904677, 1.6320775521731663, 1.91623134800744,0.7731088206123937, -0.11093731453367939, 0.11932522856312444, -0.43705143638956545, 0.033963645624481335, -0.4284736471353162,1.0,-8730.291859085612, -2832.8056232267327, 21512.537556748914, -76.55861160944937, 220.77520394291338, 38.16854980719296,1.0,769
11491.551,-0.5614660778055391, -1.9799271160709475, -1.4442754029192297, -0.9681849093511721, 1.6321367604441872, 1.915484396867231,0.7731088206123937, -0.1109373145336794, 0.11932522856312444, -0.43705143638956545, 0.03396364562448134, -0.42847364713531627,1.0,-8729.424798377026, -2832.7612965284698, 21512.889116912764, -76.5571683652482, 220.8041947176098, 38.15943777196492,1.0,769
11491.559,-0.5600289689149696, -1.9801333341307616, -1.4440535928166085, -0.9689973312096809, 1.632199894450399, 1.9146879200049116,0.7731088206123937, -0.1109373145336794, 0.11932522856312444, -0.43705143638956545, 0.03396364562448134, -0.4284736471353162,1.0,-8728.587698939878, -2833.214027356421, 21512.98280424616, -76.54826899650843, 220.83956124592703, 38.1591627735109,1.0,769
11491.567,-0.558502499166698, -1.980352375034287, -1.4438179903415742, -0.9698602702659942, 1.6322669541918022, 1.913841917420482,0.7731088206123937, -0.1109373145336794, 0.11932522856312446, -0.43705143638956545, 0.03396364562448135, -0.4284736471353162,1.0,-8728.868479829662, -2833.31727920885, 21512.918123750344, -76.55138599832239, 220.82147371515288, 38.16428990492088,1.0,769
11491.574999999999,-0.5568866685607254, -1.980584238781522, -1.443568595494126, -0.9707737265201137, 1.6323379396683966, 1.9129463891139418,0.7731088206123937, -0.1109373145336794, 0.11932522856312446, -0.4370514363895655, 0.03396364562448134, -0.42847364713531627,1.0,-8730.05715644221, -2832.947757498443, 21512.46011486178, -76.56323039015297, 220.76897355802458, 38.17234234008157,1.0,769
