time,distance0,distance1
8.78179310344798,1000,529
8.78179310344798,1000,544
0.08420338983061379,1000,544
0.10820338983004626,1000,541
0.14820338983000989,1000,550
0.1962033898300618,1000,542
0.23620338983065745,1000,545
0.23620338983065745,1000,542
0.3082033898298644,1000,533
0.348203389829828,1000,543
0.3882033898300691,1000,539
0.42020338982994443,1000,544
0.4522033898300972,1000,546
0.48420338983025,1000,543
0.5402033898298353,1000,547
0.5642033898301773,1000,538
0.5642033898301773,1000,540
0.6522033898299153,1000,539
0.692203389829879,1000,543
0.7322033898298426,1000,535
0.7642033898299954,1000,545
0.7962033898301482,1000,545
0.8442033898299226,1000,535
0.8762033898300754,1000,543
0.916203389830039,1000,540
0.9482033898301918,1000,540
0.9562033898300026,1000,546
1.028203389830119,1000,534
1.0362033898299299,1000,544
1.0842033898306138,1000,536
1.14820338983001,1000,540
1.1562033898298207,1000,558
1.2122033898303155,1000,542
1.2522033898302791,1000,540
1.276203389830621,1000,540
1.276203389830621,1000,537
1.3402033898300172,1000,546
1.3802033898299808,1000,543
1.4202033898299444,1000,548
1.460203389829908,1000,548
1.5002033898298717,1000,544
1.5562033898303664,1000,549
1.572203389829988,1000,552
1.620203389830672,1000,557
1.620203389830672,1000,557
1.70820338983041,1000,555
1.7482033898303737,1000,552
1.7722033898300837,1000,556
1.8202033898304901,1000,555
1.8442033898299226,1000,565
1.8762033898300754,1000,556
1.9322033898305702,1000,562
1.9562033898300026,1000,565
1.9882033898301554,1000,559
2.0362033898299297,1000,564
2.0682033898300825,1000,568
2.116203389829857,1000,568
2.1482033898300097,1000,569
2.1722033898303517,1000,579
2.1962033898300617,1000,573
2.2602033898300897,1000,571
2.2922033898302425,1000,584
2.2922033898302425,1000,576
2.364203389830359,1000,595
2.4122033898301334,1000,591
2.452203389830097,1000,608
2.476203389830439,1000,605
2.524881355931908,1000,628
2.564203389830177,1000,615
2.6122033898299515,1000,622
2.6442033898301043,1000,640
2.6682033898304462,1000,645
2.7322033898298423,1000,668
2.7722033898300835,1000,670
2.812203389830679,1000,675
2.8442033898299224,1000,672
2.8442033898299224,1000,692
2.9242033898298496,1000,700
2.9242033898298496,1000,697
3.0042033898300544,1000,705
3.020203389830308,1000,709
3.0762033898298933,1000,697
3.132203389830388,1000,692
3.164203389830541,1000,687
3.2122033898303153,1000,702
3.2122033898303153,1000,682
3.3002033898300533,1000,683
3.308203389829864,1000,683
3.3802033898299806,1000,696
3.420203389829944,1000,696
3.460203389829908,1000,682
3.476203389830439,1000,699
3.476203389830439,1000,698
3.564203389830177,1000,716
3.572203389829988,1000,740
3.6442033898301043,1000,729
3.6442033898301043,1000,737
3.7162033898302207,1000,781
3.7562033898301843,1000,779
3.796203389830148,1000,775
3.8042033898299588,1000,787
3.876203389830075,1000,842
3.916203389830039,1000,854
3.9482033898301916,1000,903
3.9802033898303444,1000,913
4.012203389830497,1000,876
4.0682033898300825,1000,876
4.076203389829893,1000,976
4.132203389830388,1000,940
4.1562033898298205,1000,977
4.2042033898305045,1000,1000
4.228203389829937,1000,1000
4.284203389830432,1000,988
4.324203389830395,1000,962
4.364203389830359,1000,927
4.380203389829981,1000,1000
4.380203389829981,1000,1000
4.380203389829981,1000,1000
4.5002033898298714,1000,956
4.540203389829835,1000,887
4.564203389830177,1000,760
4.564203389830177,1000,1000
4.564203389830177,1000,1000
4.700203389830599,1000,855
4.700203389830599,1000,695
4.700203389830599,1000,689
4.812203389830679,1000,683
4.868203389830264,1000,617
4.900203389830417,1000,1000
4.956203389830002,1000,529
4.980203389830344,1000,563
5.020203389830308,1000,545
5.076203389829893,1000,536
5.100203389830235,1000,522
5.1562033898298205,1000,528
5.196203389830062,1000,540
5.236203389830657,1000,528
5.276203389830621,1000,548
5.308203389829864,1000,534
5.348203389829828,1000,535
5.388203389830069,1000,541
5.444203389830286,1000,551
5.48420338983025,1000,519
5.48420338983025,1000,543
5.548203389830555,1000,537
5.59620338983033,1000,534
5.59620338983033,1000,545
5.676203389830257,1000,540
5.716881355931915,1000,544
5.755661016949011,1000,536
5.772203389830084,1000,543
5.8362033898301116,1000,535
5.852203389830643,1000,547
5.916203389830039,1000,544
5.956203389830002,1000,548
6.004203389830055,1000,546
6.04420338983065,1000,548
6.076203389829893,1000,539
6.092203389830424,1000,542
6.14820338983001,1000,538
6.188203389829973,1000,540
6.212203389830315,1000,541
6.228203389829937,1000,544
6.300203389830053,1000,546
6.332203389830206,1000,537
6.37220338983017,1000,535
6.412203389830133,1000,546
6.452203389830097,533,546
6.492203389830061,1000,537
6.524203389830213,1000,535
6.564203389830177,1000,535
6.604203389830141,1000,544
6.644203389830104,1000,549
6.644203389830104,1000,534
6.716203389830221,1000,550
